"","accuracy","p","precision","recall","estMisclassSize","estNval","estCorrClassSize","waic","iterIndex","simMethod","estMethod","trueNval","trueMisclassIncrease","biasBeta01","biasBeta11","biasBeta12","biasGamma011","biasGamma021","biasGamma012","biasGamma022","biasGamma111","biasGamma121","biasGamma112","biasGamma122"
"21",0.824142666666667,0.501861426898247,0.830694339622641,0.816754609929078,106,200,94,2390.2,21,"full","main",0,0,0.0479427248163988,-0.479129666280158,0.201394435724907,-2.01214098280525,-1.0008597339945,-0.506524491756107,-1.00236552487284,-3.00530289836183,1.0116070781537,1.01659351311797,-1.00681855317651
"22",0.824694,0.499709431340049,0.807970440251572,0.843552482269504,106,200,94,2314.75,22,"full","main",0,0,-0.0200725669433484,0.0561435412827773,0.080852683567042,-2.00794618925531,-0.997197406717431,-0.510099262001796,-1.00341219110628,-2.99075235977906,1.01167205296964,0.999892959435373,-1.00902612183479
"23",0.814953666666667,0.502413289367578,0.800903267973856,0.829577551020408,102,200,98,2318.39,23,"full","main",0,0,0.069383838734583,-0.166561894771491,-0.118815552416039,-1.99729808745495,-1.00724651317593,-0.494404502280593,-1.00476025140931,-3.00807713539787,1.01062512189565,0.997864125092028,-1.00193748410071
"24",0.836697333333333,0.502669003223395,0.814359856630824,0.85611214953271,93,200,107,2267.68,24,"full","main",0,0,-0.111334202693514,0.180162003955759,-0.135094827699425,-2.00267431790863,-1.00381053889563,-0.497684632410906,-1.00592813336409,-2.99601673057117,1.00407257589795,1.00012185420043,-0.990613929831615
"25",0.813708666666667,0.499410136924312,0.778896363636364,0.856257037037037,110,200,90,2313.94,25,"full","main",0,0,0.0747402279117914,0.171257051505092,-0.0810955919422534,-1.99893752301674,-0.990657075240013,-0.50777497673697,-0.995750898691634,-3.00518594097892,1.00779168915417,0.999890205184076,-1.00527210910756
"26",0.838631333333333,0.501182698318626,0.7884,0.895275177304965,106,200,94,2277.04,26,"full","main",0,0,0.0527750163183331,0.185469170869508,-0.162172471496485,-1.99450455798016,-0.99185255259546,-0.503272985800828,-0.997789112189976,-3.00669658986306,0.991889899068346,1.00293097390917,-0.994912890916288
"27",0.832577,0.502419144077382,0.782549659863946,0.880642483660131,98,200,102,2331.02,27,"full","main",0,0,0.29405672844576,0.00380302944716693,-0.109548410631264,-1.99813844968078,-1.00350846798543,-0.491937699687927,-1.00017080524804,-2.99670879977873,1.00844899158271,1.00160639609334,-0.991139434708182
"28",0.872104666666667,0.496395515669867,0.86102962962963,0.881166060606061,90,200,110,2256.17,28,"full","main",0,0,-0.0614409610454971,0.480654442288154,-0.193237720136843,-2.0104142079194,-0.98661924060131,-0.496659929550381,-0.998861344280405,-2.9976902729629,0.995761463136902,1.00538356822822,-0.992790764271497
"29",0.851896666666667,0.49801116156412,0.846065934065934,0.856764525993884,91,200,109,2346.62,29,"full","main",0,0,0.130567308623045,-0.027914251547513,0.301054197622211,-2.00203193941062,-1.00113343823506,-0.489647594726722,-1.00000488251079,-2.99823523343595,1.00143025472013,0.999528698752659,-0.996247882553427
"30",0.821873,0.503715032852503,0.768262706270627,0.87656632996633,101,200,99,2304.7,30,"full","main",0,0,0.0898900053636662,-0.280207378295812,-0.118209555194318,-1.99377441831649,-1.0024604870489,-0.505621559203481,-1.01203698148524,-3.0019218191519,0.994942357233408,1.01596405454154,-0.991072236969301
"31",0.823966,0.500978175756972,0.80946735395189,0.837620064724919,97,200,103,2296.98,31,"full","main",0,0,0.0676963171349558,-0.0845130865141033,0.114328103504786,-2.00144084222103,-1.00356668234518,-0.493855090694317,-1.00646658905518,-2.99093214020751,1.00163972546285,1.00369155194623,-0.997152327748925
